Date,Distance,Calories,Durée,Fréquence cardiaque moyenne,Fréquence cardiaque maximale,TE aérobie,Cadence de course moyenne,Cadence de course maximale,Allure moyenne,Meilleure allure,Ascension totale,Descente totale,Longueur moyenne des foulées,Rapport vertical moyen,Oscillation verticale moyenne,Temps de contact moyen avec le sol,Equilibre TCS moyen,Température,Nombre de circuits,Temps de déplacement,Temps écoulé,Altitude minimale,Altitude maximale
29/03/2021 15:31,"11,58",685,00:54:44,149,168,"3,1",162,194,04:44,02:18,122,120,"1,29","0,0","0,0",--,--,"22,0",17,00:54:39,00:57:51,602,680
27/03/2021 10:42,"14,50",1.013,01:16:37,158,175,"4,0",168,180,05:17,04:20,56,60,"1,13","0,0","0,0",--,--,"14,0",1,01:16:37,01:16:37,191,216
24/03/2021 16:14,"10,14",585,00:46:41,146,170,"3,0",148,186,04:36,02:43,93,90,"1,43","0,0","0,0",--,--,"17,0",12,00:45:31,00:49:16,602,681
22/03/2021 16:38,"10,26",697,00:48:35,157,177,"3,7",164,174,04:44,02:57,295,297,"1,29","0,0","0,0",--,--,"9,0",1,00:48:34,00:48:35,589,826
20/03/2021 11:25,"13,07",814,00:57:11,158,175,"3,8",165,180,04:23,03:03,209,207,"1,39","0,0","0,0",--,--,"9,0",23,00:57:09,00:57:11,624,777
18/03/2021 12:37,"13,02",900,01:00:44,162,183,"4,1",165,229,04:40,03:11,252,250,"1,30","0,0","0,0",--,--,"8,0",14,01:00:40,01:00:44,626,818
16/03/2021 17:03,"10,43",675,00:44:43,166,186,"4,1",159,238,04:17,03:11,90,89,"1,45","0,0","0,0",--,--,"10,0",13,00:00:00,00:44:43,601,684
15/03/2021 07:19,"8,22",613,00:40:07,164,188,"4,1",165,176,04:53,03:16,262,260,"1,24","0,0","0,0",--,--,"7,0",1,00:40:07,00:40:07,602,824
13/03/2021 11:06,"13,42",915,01:06:12,156,177,"3,5",163,174,04:56,03:22,47,45,"1,24","0,0","0,0",--,--,"14,0",1,01:06:11,01:06:12,144,164
11/03/2021 15:00,"10,39",713,00:51:01,156,191,"3,8",151,219,04:55,02:13,118,121,"1,32","0,0","0,0",--,--,"15,0",18,00:49:59,00:53:37,598,673
10/03/2021 12:18,"8,01",587,00:39:06,160,184,"3,8",165,176,04:53,03:11,262,258,"1,24","0,0","0,0",--,--,"14,0",1,00:39:06,00:39:06,600,820
08/03/2021 16:19,"13,01",796,00:54:12,158,170,"4,1",165,172,04:10,03:12,108,110,"1,45","0,0","0,0",--,--,"10,0",9,00:54:11,00:55:44,600,673
06/03/2021 11:09,"13,39",924,01:03:23,159,187,"4,1",165,182,04:44,02:50,256,255,"1,28","0,0","0,0",--,--,"8,0",1,01:03:20,01:03:23,626,818
04/03/2021 16:10,"8,75",488,00:38:21,144,178,"3,3",156,174,04:23,03:05,93,93,"1,44","0,0","0,0",--,--,"15,0",10,00:37:55,00:40:26,600,678
03/03/2021 15:23,"9,15",643,00:43:23,157,175,"3,7",166,176,04:44,03:13,292,291,"1,27","0,0","0,0",--,--,"13,0",1,00:43:19,00:43:23,601,885
01/03/2021 16:00,"12,81",758,00:53:18,157,176,"3,8",165,174,04:10,03:21,50,50,"1,46","0,0","0,0",--,--,"16,0",2,00:53:15,00:54:16,657,702
27/02/2021 09:59,"13,36",855,01:01:25,154,170,"3,6",165,189,04:36,03:02,263,263,"1,32","0,0","0,0",--,--,"6,0",3,01:01:23,01:02:09,626,824
25/02/2021 17:10,"7,65",494,00:35:47,151,169,"3,2",164,175,04:41,02:46,229,234,"1,30","0,0","0,0",--,--,"16,0",1,00:35:47,00:35:47,596,813
24/02/2021 08:44,"12,02",775,00:51:19,165,187,"4,3",163,176,04:16,02:46,101,101,"1,43","0,0","0,0",--,--,"11,0",12,00:51:16,00:51:19,600,676
22/02/2021 15:22,"10,23",528,00:49:38,138,159,"2,6",160,206,04:51,02:07,225,231,"1,29","0,0","0,0",--,--,"17,0",20,00:49:24,00:50:49,512,727
19/02/2021 09:57,"13,01",902,01:00:01,--,--,--,165,175,04:37,02:41,245,245,"1,31","0,0","0,0",--,--,"0,0",1,01:00:01,01:00:01,606,796
17/02/2021 10:03,"12,43",833,00:57:19,--,--,--,162,178,04:37,02:36,134,137,"1,34","0,0","0,0",--,--,"0,0",21,00:57:15,01:03:43,581,652
16/02/2021 15:19,"6,21",431,00:30:01,--,--,--,164,175,04:50,01:41,221,222,"1,26","0,0","0,0",--,--,"0,0",1,00:30:01,00:30:01,600,801
15/02/2021 10:50,"11,15",740,00:48:31,--,--,--,166,184,04:21,02:45,120,117,"1,38","0,0","0,0",--,--,"0,0",26,00:48:22,00:50:42,580,645
13/02/2021 10:48,"13,58",937,01:03:14,--,--,--,168,238,04:39,02:31,355,352,"1,28","0,0","0,0",--,--,"0,0",14,01:03:12,01:03:14,601,811
11/02/2021 16:26,"7,65",524,00:35:20,--,--,--,166,176,04:37,03:31,229,218,"1,31","0,0","0,0",--,--,"0,0",8,00:35:18,00:35:20,601,816
10/02/2021 15:09,"10,57",701,00:50:02,--,--,--,148,182,04:44,02:33,120,112,"1,39","0,0","0,0",--,--,"0,0",21,00:47:29,00:53:05,605,652
08/02/2021 16:10,"11,95",829,01:04:30,--,--,--,161,173,05:24,03:29,174,176,"1,15","0,0","0,0",--,--,"0,0",12,01:04:27,01:04:30,606,760
07/02/2021 14:40,"12,13",834,00:53:02,--,--,--,163,180,04:22,02:12,111,100,"1,40","0,0","0,0",--,--,"0,0",31,00:52:55,00:53:31,580,615
05/02/2021 15:55,"13,00",869,00:57:38,--,--,--,165,179,04:26,02:25,351,349,"1,36","0,0","0,0",--,--,"0,0",13,00:57:02,00:58:18,606,792
03/02/2021 16:51,"11,00",751,00:48:07,--,--,--,163,174,04:22,01:17,160,151,"1,40","0,0","0,0",--,--,"0,0",11,00:48:05,00:48:07,581,640
01/02/2021 17:15,"7,79",534,00:45:39,--,--,--,156,237,05:52,03:04,267,269,"1,10","0,0","0,0",--,--,"0,0",8,00:45:31,00:51:36,606,866
30/01/2021 15:06,"15,02",1.023,01:03:41,--,--,--,166,178,04:14,03:13,43,48,"1,42","0,0","0,0",--,--,"0,0",16,01:03:39,01:03:41,127,155
29/01/2021 16:56,"12,24",727,00:50:46,156,176,"3,6",166,178,04:09,03:22,33,34,"1,45","0,0","0,0",--,--,"12,0",5,00:50:44,00:50:46,137,160
27/01/2021 15:53,"8,09",499,00:37:30,147,160,"2,9",168,176,04:38,03:55,29,29,"1,29","0,0","0,0",--,--,"11,0",1,00:37:30,00:37:30,153,172
26/01/2021 15:54,"12,12",721,00:51:15,154,170,"3,4",165,221,04:14,03:06,33,32,"1,42","0,0","0,0",--,--,"9,0",12,00:51:01,00:51:15,147,161
24/01/2021 10:50,"12,01",827,00:59:21,156,181,"3,5",156,235,04:57,02:44,180,183,"1,28","0,0","0,0",--,--,"8,0",22,00:58:37,01:01:32,137,159
23/01/2021 11:02,"11,50",709,00:50:15,155,190,"3,7",168,185,04:22,03:54,32,25,"1,36","0,0","0,0",--,--,"13,0",1,00:50:13,00:50:15,141,167
22/01/2021 15:36,"11,00",652,00:46:18,156,173,"3,5",166,178,04:13,02:51,31,32,"1,43","0,0","0,0",--,--,"7,0",36,00:46:17,00:46:18,137,160
20/01/2021 15:28,"12,00",748,00:50:51,161,183,"3,9",168,181,04:14,02:57,33,34,"1,41","0,0","0,0",--,--,"14,0",13,00:50:47,00:50:51,137,158
19/01/2021 15:28,"7,48",582,00:41:08,153,181,"3,2",162,171,05:30,04:31,15,12,"1,12","0,0","0,0",--,--,"10,0",1,00:41:00,00:46:06,141,152
17/01/2021 10:15,"11,00",686,00:47:35,156,172,"3,5",170,181,04:20,03:09,30,31,"1,36","0,0","0,0",--,--,"9,0",1,00:47:35,00:47:35,141,160
16/01/2021 11:14,"11,50",663,00:51:46,147,160,"2,9",166,178,04:30,04:01,25,17,"1,34","0,0","0,0",--,--,"8,0",2,00:51:45,00:51:46,156,166
14/01/2021 15:57,"11,51",653,00:49:18,153,175,"3,3",166,188,04:17,02:42,28,22,"1,41","0,0","0,0",--,--,"4,0",21,00:49:15,00:49:19,152,163
12/01/2021 15:52,"15,15",1.027,01:17:00,154,179,"3,4",164,176,05:05,04:19,52,50,"1,20","0,0","0,0",--,--,"10,0",1,01:16:53,01:17:29,154,176
10/01/2021 10:50,"15,00",941,01:03:23,161,184,"3,8",168,176,04:13,03:27,43,39,"1,41","0,0","0,0",--,--,"7,0",1,01:03:22,01:03:23,140,165
08/01/2021 15:39,"12,06",703,00:50:01,156,173,"3,4",169,177,04:09,03:15,39,39,"1,42","0,0","0,0",--,--,"10,0",7,00:50:00,00:50:01,138,161
06/01/2021 15:54,"8,15",557,00:36:30,160,188,"3,5",168,174,04:29,04:01,24,24,"1,33","0,0","0,0",--,--,"9,0",1,00:36:29,00:36:30,140,160
05/01/2021 15:58,"12,00",768,00:53:04,156,174,"3,5",167,236,04:25,02:46,24,23,"1,35","0,0","0,0",--,--,"9,0",22,00:52:57,00:54:18,151,160
03/01/2021 10:21,"10,00",649,00:43:26,158,168,"3,4",167,178,04:21,03:14,24,24,"1,37","0,0","0,0",--,--,"8,0",3,00:43:23,00:43:26,149,161
02/01/2021 11:19,"12,00",692,00:49:31,152,169,"3,3",168,179,04:07,02:50,29,27,"1,45","0,0","0,0",--,--,"11,0",3,00:49:29,00:49:31,139,162
